"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/10/2022","AQS","370670022","1","10.3","ppb","9","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/11/2022","AQS","370670022","1","25.3","ppb","24","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/12/2022","AQS","370670022","1","15.3","ppb","14","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/13/2022","AQS","370670022","1","17.4","ppb","16","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/14/2022","AQS","370670022","1","9.5","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/15/2022","AQS","370670022","1","19.5","ppb","18","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/16/2022","AQS","370670022","1","7.3","ppb","7","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/17/2022","AQS","370670022","1","8.4","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/18/2022","AQS","370670022","1","7.1","ppb","7","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/19/2022","AQS","370670022","1","10.6","ppb","9","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/20/2022","AQS","370670022","1","16.4","ppb","15","Hattie Avenue","20","83.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/21/2022","AQS","370670022","1","17.8","ppb","16","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/22/2022","AQS","370670022","1","18.7","ppb","17","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/23/2022","AQS","370670022","1","9.8","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/24/2022","AQS","370670022","1","9.9","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/25/2022","AQS","370670022","1","13.8","ppb","12","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/26/2022","AQS","370670022","1","8.5","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/27/2022","AQS","370670022","1","21.1","ppb","20","Hattie Avenue","18","75.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/28/2022","AQS","370670022","1","17.7","ppb","16","Hattie Avenue","20","83.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"04/30/2022","AQS","370670022","1","5.9","ppb","5","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/01/2022","AQS","370670022","1","7.2","ppb","7","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/02/2022","AQS","370670022","1","16.7","ppb","15","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/03/2022","AQS","370670022","1","21.2","ppb","20","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/04/2022","AQS","370670022","1","9.9","ppb","8","Hattie Avenue","20","83.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/05/2022","AQS","370670022","1","4.8","ppb","4","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/06/2022","AQS","370670022","1","9.6","ppb","8","Hattie Avenue","22","92.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/07/2022","AQS","370670022","1","5.4","ppb","5","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/08/2022","AQS","370670022","1","3.6","ppb","3","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/09/2022","AQS","370670022","1","13.1","ppb","12","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/10/2022","AQS","370670022","1","11.3","ppb","10","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"05/11/2022","AQS","370670022","1","5.9","ppb","5","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
