"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/27/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"03/28/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"03/29/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"03/30/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"03/31/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/01/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/02/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/03/2022","AQS","371190041","4","0.5","ppm","6","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/04/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/05/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/06/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/07/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/08/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/09/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/10/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/11/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/12/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/13/2022","AQS","371190041","4","0.5","ppm","6","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/14/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/15/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/16/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/17/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/18/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/19/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/20/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/21/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/22/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/23/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/24/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/25/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/26/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/27/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"04/28/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
