"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/13/2022","AQS","370630015","3","10.4","ug/m3 LC","43","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/14/2022","AQS","370630015","3","8.5","ug/m3 LC","35","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/15/2022","AQS","370630015","3","2.5","ug/m3 LC","10","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/16/2022","AQS","370630015","3","7","ug/m3 LC","29","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/17/2022","AQS","370630015","3","7.2","ug/m3 LC","30","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/18/2022","AQS","370630015","3","3.3","ug/m3 LC","14","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/19/2022","AQS","370630015","3","3.4","ug/m3 LC","14","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/20/2022","AQS","370630015","3","6.6","ug/m3 LC","28","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/21/2022","AQS","370630015","3","6.9","ug/m3 LC","29","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/22/2022","AQS","370630015","3","10.5","ug/m3 LC","44","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/23/2022","AQS","370630015","3","12.5","ug/m3 LC","52","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/24/2022","AQS","370630015","3","9.5","ug/m3 LC","40","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/25/2022","AQS","370630015","3","9.9","ug/m3 LC","41","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"04/26/2022","AQS","370630015","3","10","ug/m3 LC","42","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
